time,kafka_connect,risingwave,clickhouse,redpanda,malut_clone
18:44:20,1646,6676,791,697,264
18:44:24,1647,6660,754,697,264
18:44:28,1647,6780,789,700,263
18:44:31,1648,6801,805,701,261
18:44:35,1648,6926,759,702,259
18:44:38,1648,6886,788,702,256
18:44:42,1648,6580,772,704,256
18:44:45,1650,6660,789,706,256
18:44:49,1652,6647,785,708,256
18:44:53,1653,6675,841,709,254
18:44:57,1661,6675,786,709,252
18:45:01,1674,6724,802,709,252
18:45:04,1673,6834,807,708,250
18:45:08,1673,6834,807,708,249
18:45:12,1690,6719,818,709,249
18:45:16,1700,6875,793,708,249
18:45:20,1712,6900,835,709,215
18:45:25,1731,7002,799,708,215
18:45:30,1754,6797,820,708,215
18:45:33,1810,6680,833,708,215
18:45:37,1840,6793,774,708,215
18:45:40,1840,6659,772,708,215
18:45:44,1840,6628,775,708,215
18:45:47,1840,6565,772,708,215
18:45:50,1840,6711,766,707,215
18:45:55,1840,6724,763,706,215
18:45:59,1840,6646,762,706,215
18:46:02,1840,6608,763,706,215
18:46:06,1840,6720,763,704,215
18:46:09,1840,6743,756,703,215
18:46:13,1840,6724,818,704,215
18:46:16,1840,6718,769,704,215
18:46:20,1839,6827,768,702,215
18:46:24,1839,6830,765,702,215
18:46:28,1839,6892,763,704,214
